Plan Type,Price ,Data,Validity,Calls,SMS,Additional Benefits
Prepaid,249,1 GB per day,24 days,"Unlimited local, STD, and roaming",100 SMS per day,Access to Airtel Xstream Play with free content
Prepaid,299,1 GB per day,28 days,"Unlimited local, STD, and roaming",100 SMS per day,Free Hello Tunes on Wynk
Prepaid,349,1.5 GB per day,28 days,"Unlimited local, STD, and roaming",100 SMS per day,Apollo 24|7 Circle membership for 3 months at no extra cost
Prepaid,379,2 GB per day,1 month,"Unlimited local, STD, and roaming",100 SMS per day,"Unlimited 5G data in 5G network areas, access to Airtel Xstream Play"
Prepaid,449,3 GB per day,28 days,"Unlimited local, STD, and roaming",100 SMS per day,"Access to Airtel Xstream Play Premium, including 22+ OTT platforms"
Prepaid,549,3 GB per day,28 days,"Unlimited local, STD, and roaming",100 SMS per day,"Disney+ Hotstar Mobile subscription for 3 months, access to Airtel Xstream Play Premium"
Prepaid,619,1.5 GB per day,60 days,"Unlimited local, STD, and roaming",100 SMS per day,Access to Airtel Xstream Play
Prepaid,649,2 GB per day,56 days,"Unlimited local, STD, and roaming",100 SMS per day,"Unlimited 5G data in 5G network areas, access to Airtel Xstream Play"
Prepaid,699,2 GB per day,60 days,"Unlimited local, STD, and roaming",100 SMS per day,Access to Airtel Xstream Play
Prepaid,839,2 GB per day,84 days,"Unlimited local, STD, and roaming",100 SMS per day,"Unlimited 5G data in 5G network areas, access to Airtel Xstream Play"
Postpaid,399,40 GB,Monthly,"Unlimited local, STD, and roaming",100 SMS per day,Access to Airtel Xstream Play
Postpaid,499,75 GB,Monthly,"Unlimited local, STD, and roaming",100 SMS per day,"Access to Airtel Xstream Play, Amazon Prime Video subscription for 6 months"
Postpaid,699,75 GB,Monthly,"Unlimited local, STD, and roaming",100 SMS per day,"One add-on connection with unlimited voice calls and data benefits, 6-months of free Amazon Prime subscription, one year of Disney+ Hotstar subscription, Wynk music, handset protection"
Postpaid,999,75 GB,Monthly,"Unlimited local, STD, and roaming",100 SMS per day,"Two family SIM cards, Disney+ Hotstar and Amazon Prime Video subscriptions"
Postpaid,1199,100 GB,Monthly,"Unlimited local, STD, and roaming",100 SMS per day,"Three family SIM cards, Disney+ Hotstar and Amazon Prime Video subscriptions, Handset protection"
Postpaid,1399,150 GB,Monthly,"Unlimited local, STD, and roaming",100 SMS per day,"Three family SIM cards, Disney+ Hotstar and Amazon Prime Video subscriptions"
